OverallQual,GrLivArea,MSZoning_RL,BsmtFinType2,MSZoning_RM,GarageCars,LotFrontage,MiscFeature_NA,YearBuilt,Condition1_Artery,ExterCond,LandSlope_Sev,Condition1_PosN,2ndFlrSF,Fence_GdWo,GarageType_2Types,Foundation_PConc,MSZoning_FV,TotRmsAbvGrd,Condition2_Norm,BsmtFinSF1,Condition2_PosA,LotConfig_FR3,Foundation_BrkTil,CentralAir_N,OpenPorchSF,Electrical_FuseA,Electrical_SBrkr,Neighborhood_Gilbert,Condition1_RRNn
8,1848,0,1,0,2.0,68.0,1,2000,0,3,0,0,873,0,0,1,1,7,1,484.0,0,0,0,0,184,0,1,0,0
7,1492,0,1,0,2.0,80.0,1,2002,0,3,0,0,0,0,0,1,1,6,1,833.0,0,0,0,0,137,0,1,0,0
6,1829,1,1,0,2.0,0.0,1,1967,0,3,0,0,0,0,0,0,0,8,1,506.0,0,0,0,0,76,0,1,0,0
6,2495,1,1,0,2.0,80.0,1,1993,0,3,0,0,1215,0,0,1,0,9,1,1137.0,0,0,0,0,32,0,1,0,0
6,1891,1,2,0,2.0,0.0,1,1978,0,3,0,0,604,0,0,1,0,7,1,687.0,0,0,0,0,69,0,1,0,0
6,1645,1,1,0,2.0,80.0,1,1971,0,3,0,0,715,1,0,0,0,7,1,329.0,0,0,0,0,78,0,1,0,0
5,1232,1,1,0,2.0,80.0,1,1966,0,3,0,0,0,0,0,0,0,6,1,698.0,0,0,0,0,224,0,1,0,0
5,1209,1,1,0,2.0,90.0,1,1966,0,3,0,0,0,0,0,1,0,6,1,1059.0,0,0,0,0,0,0,1,0,0
5,1510,1,1,0,2.0,88.0,1,1967,0,3,0,0,0,0,0,0,0,6,1,1010.0,0,0,0,0,40,0,1,0,0
6,1775,1,1,0,2.0,0.0,1,1964,0,3,0,0,644,0,0,0,0,8,1,0.0,0,0,0,0,172,0,1,0,0
5,1728,1,1,0,0.0,98.0,1,1962,0,3,0,0,0,0,0,0,0,10,1,1500.0,0,0,0,0,0,0,1,0,0
5,2461,1,1,0,2.0,68.0,1,1952,0,3,0,0,532,1,0,0,0,7,1,670.0,0,0,0,0,0,0,1,0,0
6,1556,1,1,0,2.0,120.0,1,1949,1,4,0,0,537,0,0,0,0,6,1,300.0,0,0,0,0,0,0,1,0,0
6,1128,1,1,0,1.0,75.0,0,1966,0,3,0,0,0,0,0,0,0,5,1,944.0,0,0,0,0,0,0,1,0,0
5,1604,1,1,0,2.0,70.0,1,1958,0,3,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,1,0,0
7,1480,1,1,0,2.0,70.0,0,2003,0,3,0,0,0,0,0,1,0,7,1,1188.0,0,0,0,0,73,0,1,0,0
5,1143,1,3,0,1.0,0.0,1,1959,0,3,0,0,0,0,0,0,0,6,1,856.0,0,0,0,0,0,0,1,0,0
5,1206,1,1,0,1.0,87.0,1,1959,0,3,0,0,0,0,0,0,0,6,1,936.0,0,0,0,0,21,0,1,0,0
6,1580,1,1,0,2.0,80.0,1,1959,0,3,0,0,0,1,0,0,0,6,1,734.0,0,0,0,0,28,0,1,0,0
4,1337,1,1,0,1.0,60.0,1,1956,0,3,0,0,505,0,0,0,0,5,1,0.0,0,0,0,0,0,1,0,0,0
5,1064,1,1,0,1.0,60.0,1,1952,0,3,0,0,0,0,0,0,0,4,1,339.0,0,0,0,0,0,0,1,0,0
5,972,1,1,0,1.0,119.0,1,1955,0,4,0,0,0,1,0,0,0,5,1,648.0,0,0,0,0,0,0,1,0,0
5,988,1,1,0,1.0,70.0,1,1958,0,3,0,0,0,0,0,0,0,5,1,532.0,0,0,0,0,0,0,1,0,0
4,985,1,1,0,2.0,65.0,1,1920,0,3,0,0,0,0,0,0,0,4,1,0.0,0,0,1,0,0,0,1,0,0
6,1224,1,3,0,1.0,60.0,1,1948,1,3,0,0,408,1,0,0,0,5,1,481.0,0,0,0,0,0,0,1,0,0
5,1175,1,2,0,2.0,81.0,1,1960,0,3,0,0,0,0,0,0,0,6,1,588.0,0,0,0,0,0,0,1,0,0
6,1395,1,2,0,2.0,80.0,1,1963,0,3,0,0,0,0,0,0,0,7,1,717.0,0,0,0,0,0,0,1,0,0
4,1844,0,1,1,1.0,60.0,1,1900,0,3,0,0,687,0,0,1,0,9,1,48.0,0,0,0,0,0,0,1,0,0
5,936,0,1,1,0.0,56.0,1,1920,1,3,0,0,0,0,0,1,0,5,1,579.0,0,0,0,0,0,0,1,0,0
5,1347,0,3,1,2.0,69.0,1,1957,0,3,0,0,0,0,0,0,0,6,1,274.0,0,0,0,0,0,0,1,0,0
6,1251,0,1,1,1.0,50.0,1,1938,0,3,0,0,424,0,0,1,0,6,1,0.0,0,0,0,0,0,0,1,0,0
5,1633,0,1,1,1.0,69.0,1,1948,1,4,0,0,606,0,0,0,0,7,1,780.0,0,0,1,0,100,0,1,0,0
5,1245,0,1,1,1.0,0.0,1,1920,1,3,0,0,185,0,0,0,0,6,1,176.0,0,0,1,0,0,0,1,0,0
2,832,0,1,1,2.0,68.0,1,1923,0,2,0,0,0,0,0,0,0,5,1,0.0,0,0,1,1,0,0,1,0,0
8,1566,0,1,1,1.0,60.0,1,1900,0,4,0,0,636,0,0,0,0,7,1,0.0,0,0,1,1,228,0,1,0,0
8,2268,0,1,1,2.0,50.0,1,1890,0,4,0,0,1111,0,0,0,0,7,1,0.0,0,0,0,0,108,0,1,0,0
5,2256,0,1,1,0.0,100.0,1,1910,0,2,0,0,1128,0,0,0,0,12,1,0.0,0,0,1,1,18,0,0,0,0
6,1470,0,1,1,2.0,60.0,1,1922,0,3,0,0,602,0,0,0,0,6,1,283.0,0,0,0,0,0,0,1,0,0
5,1612,0,1,1,1.0,53.0,1,1950,0,4,0,0,582,0,0,0,0,7,0,788.0,0,0,0,0,0,0,1,0,0
7,2068,1,1,0,1.0,0.0,1,1922,0,3,0,0,908,0,0,0,0,8,1,474.0,0,0,1,1,0,1,0,0,0
4,765,0,1,1,1.0,50.0,1,1925,0,3,0,0,0,0,0,0,0,4,1,188.0,0,0,1,1,0,0,0,0,0
6,1132,0,2,1,1.0,50.0,1,1939,0,3,0,0,524,0,0,0,0,5,1,452.0,0,0,1,0,0,0,1,0,0
6,1196,0,1,1,2.0,50.0,1,1940,0,4,0,0,348,0,0,0,0,6,1,264.0,0,0,0,0,0,1,0,0,0
5,1453,0,2,1,1.0,53.0,1,1942,0,3,0,0,498,0,0,0,0,7,1,360.0,0,0,0,0,0,1,0,0,0
6,1416,0,1,1,1.0,50.0,1,1948,0,3,0,0,636,0,0,0,0,6,1,300.0,0,0,0,0,0,0,1,0,0
5,1040,0,1,1,2.0,52.0,1,1936,0,3,0,0,492,0,0,0,0,5,1,276.0,0,0,0,0,0,0,1,0,0
5,1536,0,1,1,2.0,52.0,1,1930,0,3,0,0,608,0,0,0,0,7,1,448.0,0,0,1,0,10,0,0,0,0
6,1068,0,1,1,1.0,51.0,1,1923,1,3,0,0,0,0,0,0,0,5,1,960.0,0,0,1,0,0,0,1,0,0
4,1962,0,1,1,2.0,57.0,1,1915,0,2,0,0,1074,0,0,0,0,9,1,0.0,0,0,0,0,0,0,1,0,0
6,1560,0,1,1,0.0,60.0,1,1912,0,4,0,0,780,0,0,1,0,7,1,0.0,0,0,0,0,0,0,1,0,0
6,1324,0,1,1,1.0,52.0,1,1920,0,4,0,0,662,0,0,0,0,6,1,0.0,0,0,1,0,0,0,1,0,0
5,1675,1,1,0,1.0,100.0,1,1959,0,3,0,0,0,0,0,0,0,8,1,766.0,0,0,0,0,132,0,1,0,0
5,1224,1,1,0,1.0,72.0,1,1917,0,3,0,0,499,0,0,0,0,6,1,0.0,0,0,1,1,0,0,1,0,0
5,1392,1,1,0,0.0,60.0,1,1915,0,2,0,0,180,0,0,0,0,6,1,1026.0,0,0,1,1,0,0,1,0,0
6,919,1,1,0,1.0,65.0,1,1940,0,3,0,0,319,0,0,0,0,5,1,368.0,0,0,0,1,0,0,1,0,0
4,1884,0,1,0,0.0,0.0,1,1907,0,3,0,0,942,0,0,0,0,7,1,73.0,0,0,0,1,0,0,1,0,0
5,1680,0,1,0,2.0,60.0,1,1910,1,4,0,0,744,0,0,0,0,7,1,736.0,0,0,1,0,144,0,1,0,0
4,1832,1,1,0,0.0,72.0,1,1967,0,2,0,0,0,0,0,0,0,8,1,704.0,0,0,0,1,58,0,1,0,0
5,892,1,3,0,1.0,65.0,1,1966,0,3,0,0,0,0,0,0,0,5,1,240.0,0,0,0,0,0,0,1,0,0
5,864,1,1,0,1.0,65.0,1,1968,0,3,0,0,0,0,0,0,0,4,1,775.0,0,0,0,0,0,0,1,0,0
5,1373,1,1,0,2.0,0.0,1,1978,0,3,0,0,0,0,0,0,0,5,1,1319.0,0,0,0,0,0,0,1,0,0
5,1440,1,5,0,2.0,86.0,1,1968,0,4,0,0,720,0,0,0,0,7,1,267.0,0,0,0,0,38,0,1,0,0
7,1483,1,1,0,2.0,0.0,1,1977,0,4,0,0,0,0,0,0,0,4,1,1092.0,0,0,0,0,0,0,1,0,0
4,756,1,1,0,2.0,94.0,1,1927,0,3,0,0,0,0,0,0,0,4,1,0.0,0,0,1,1,0,0,1,0,0
6,1981,1,1,0,2.0,0.0,1,1978,0,3,0,0,864,0,0,1,0,8,1,964.0,0,0,0,0,104,0,1,0,0
3,1610,1,2,0,1.0,124.0,0,1938,0,3,0,0,558,0,0,0,0,8,1,288.0,0,0,0,0,0,1,0,0,0
6,1074,1,3,0,1.0,65.0,1,1950,0,3,0,0,0,0,0,0,0,6,1,104.0,0,0,0,0,52,0,1,0,0
4,1531,1,1,0,1.0,50.0,1,1947,0,3,0,0,0,0,0,0,0,8,1,192.0,0,0,0,0,0,0,1,0,0
5,1172,1,1,0,1.0,75.0,1,1954,0,3,0,0,0,0,0,0,0,5,1,954.0,0,0,0,0,0,0,1,0,0
7,1508,1,1,0,2.0,44.0,1,2009,0,3,0,0,0,0,0,1,0,5,1,1346.0,0,0,0,0,0,0,1,0,0
5,1298,1,1,0,2.0,0.0,1,1964,0,2,0,0,0,0,0,0,0,5,1,0.0,0,0,0,0,144,0,1,0,0
7,1433,1,1,0,2.0,83.0,1,1987,0,3,0,0,0,0,0,0,0,4,1,1433.0,0,0,0,0,278,0,1,0,0
6,1802,1,1,0,4.0,87.0,1,1993,0,4,0,0,838,0,1,1,0,8,1,860.0,0,0,0,0,92,0,1,0,0
7,1222,1,1,0,2.0,64.0,1,2010,0,3,0,0,0,0,0,1,0,6,1,24.0,0,0,0,0,54,0,1,0,0
6,1445,1,1,0,2.0,82.0,1,1900,0,3,0,0,614,0,0,1,0,6,1,0.0,0,0,0,0,59,0,1,0,0
5,965,1,1,0,2.0,82.0,1,1996,0,4,0,0,0,0,0,1,0,4,1,870.0,0,0,0,0,0,0,1,0,0
7,1692,1,1,0,2.0,0.0,1,1997,0,3,0,0,800,0,0,1,0,8,1,353.0,0,0,0,0,39,0,1,0,0
5,1026,1,3,0,1.0,38.0,1,1977,0,4,0,0,0,0,0,0,0,5,1,198.0,0,0,0,0,85,0,1,0,0
5,876,1,1,0,2.0,68.0,1,1972,0,3,0,0,0,0,0,0,0,5,1,480.0,0,0,0,0,0,0,1,0,0
8,1978,1,1,0,3.0,80.0,1,2003,0,3,0,0,0,0,0,1,0,8,1,1682.0,0,0,0,0,25,0,1,0,0
7,2098,1,1,0,2.0,75.0,1,1997,0,3,0,0,1054,0,0,1,0,9,1,0.0,0,0,0,0,38,0,1,0,0
6,848,0,1,1,2.0,0.0,1,2003,0,3,0,0,0,0,0,1,0,4,1,672.0,0,0,0,0,0,0,1,0,0
3,640,1,0,0,1.0,67.0,1,1945,0,4,0,0,0,0,0,0,0,5,1,0.0,0,0,0,1,0,0,1,0,0
5,992,1,1,0,1.0,68.0,1,1954,0,4,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,1,0,0
5,1196,1,1,0,1.0,60.0,1,1968,0,3,0,0,0,0,0,0,0,6,1,1070.0,0,0,0,0,0,0,1,0,0
4,1120,1,1,0,2.0,89.0,1,1948,0,3,0,0,328,0,0,0,0,5,1,0.0,0,0,0,1,0,0,0,0,0
6,1096,1,1,0,1.0,65.0,1,1975,0,3,0,0,0,0,0,0,0,5,1,528.0,0,0,0,0,0,0,1,0,0
4,960,1,1,0,0.0,64.0,1,1958,0,3,0,0,0,0,0,0,0,5,1,0.0,0,0,0,0,0,0,1,0,0
5,1296,1,1,0,1.0,67.0,1,1924,1,3,0,0,0,0,0,0,0,5,1,133.0,0,0,1,1,0,1,0,0,0
6,856,1,1,0,2.0,0.0,1,1939,0,3,0,0,0,0,0,0,0,4,1,238.0,0,0,0,0,0,0,1,0,0
4,2650,0,0,0,0.0,60.0,0,1967,0,3,0,0,1788,0,0,0,0,10,1,0.0,0,0,0,0,0,0,1,0,0
5,1666,1,1,0,0.0,51.0,1,1931,0,3,0,0,772,0,0,1,0,7,1,0.0,0,0,0,0,156,0,1,0,0
7,2133,1,4,0,1.0,78.0,1,1941,0,4,0,0,908,0,0,0,0,8,1,426.0,0,0,1,0,0,0,1,0,0
5,2177,1,1,0,2.0,78.0,1,1950,0,4,0,0,1075,0,0,0,0,11,1,375.0,0,0,0,0,0,0,1,0,0
7,1652,1,1,0,2.0,85.0,1,1994,0,3,0,0,756,0,0,1,0,6,1,343.0,0,0,0,0,0,0,1,0,0
8,1034,0,1,1,2.0,35.0,1,1989,0,3,0,0,0,0,0,0,0,4,1,747.0,0,0,0,0,36,0,1,0,0
8,1191,0,1,1,2.0,35.0,1,1989,0,3,0,0,0,0,0,0,0,5,1,76.0,0,0,0,0,81,0,1,0,0
2,540,0,1,1,1.0,58.0,1,1941,0,3,0,0,0,0,0,0,0,4,1,480.0,0,0,1,0,0,0,1,0,0
6,1107,0,1,1,1.0,50.0,1,1921,0,3,0,0,380,0,0,0,0,5,1,308.0,0,0,1,0,56,0,1,0,0
4,952,0,1,0,1.0,66.0,1,1896,0,2,0,0,0,0,0,0,0,5,1,0.0,0,0,0,0,0,0,1,0,0
8,1646,0,1,1,2.0,44.0,1,2004,1,3,0,0,0,0,0,1,0,5,1,1373.0,0,0,0,0,53,0,1,0,0
8,1916,1,1,0,3.0,85.0,1,1998,0,3,0,0,880,0,0,1,0,8,1,615.0,0,0,0,0,70,0,1,0,0
6,1285,1,1,0,2.0,74.0,0,1977,0,3,0,0,0,0,0,0,0,6,1,679.0,0,0,0,0,26,0,1,0,0
6,2048,1,1,0,2.0,0.0,1,1976,0,3,0,0,0,0,1,0,0,9,1,0.0,0,0,0,0,0,0,1,0,0
7,1346,1,1,0,3.0,88.0,1,2008,0,3,0,0,0,0,0,1,0,6,1,78.0,0,0,0,0,48,0,1,0,0
7,1214,1,1,0,2.0,73.0,1,2009,0,3,0,0,0,0,0,1,0,6,1,0.0,0,0,0,0,25,0,1,0,0
5,1444,1,1,0,2.0,73.0,1,2006,0,3,0,0,700,0,0,1,0,7,1,0.0,0,0,0,0,0,0,1,0,0
5,1264,1,1,0,2.0,85.0,1,1965,0,3,0,0,0,0,0,0,0,7,1,42.0,0,0,0,0,0,0,1,0,0
5,1430,1,1,0,2.0,93.0,1,2004,0,3,0,0,0,0,0,1,0,7,1,0.0,0,0,0,0,0,0,1,0,0
5,1344,1,1,0,2.0,0.0,1,1999,0,3,0,0,0,0,0,1,0,7,1,0.0,0,0,0,0,0,0,1,0,0
5,945,0,1,1,1.0,31.0,1,1973,0,3,0,0,0,0,0,0,0,5,1,915.0,0,0,0,0,0,0,1,0,0
4,1092,0,1,1,0.0,21.0,1,1970,0,3,0,0,546,0,0,0,0,5,1,176.0,0,0,0,0,26,0,1,0,0
4,1092,0,1,1,0.0,21.0,1,1970,0,3,0,0,546,0,0,0,0,5,1,0.0,0,0,0,0,0,0,1,0,0
4,1092,0,1,1,1.0,21.0,1,1972,0,3,0,0,546,0,0,0,0,5,1,294.0,0,0,0,0,0,0,1,0,0
5,874,1,1,0,1.0,50.0,1,1971,0,4,0,0,0,0,0,0,0,5,1,469.0,0,0,0,0,0,0,1,0,0
5,833,1,6,0,2.0,76.0,1,1984,0,3,0,0,0,0,0,0,0,5,1,207.0,0,0,0,0,0,0,1,0,0
5,2432,1,1,0,2.0,70.0,0,1985,0,1,0,0,1216,0,0,1,0,10,1,0.0,0,0,0,0,0,0,1,0,0
5,1274,1,1,0,2.0,63.0,1,1991,0,3,0,0,650,1,0,1,0,6,1,458.0,0,0,0,0,0,0,1,0,0
5,1479,1,1,0,1.0,68.0,1,1969,0,3,0,0,615,0,0,0,0,8,1,476.0,0,0,0,0,0,0,1,0,0
8,1803,1,2,0,2.0,76.0,1,1994,0,4,0,0,0,1,0,1,0,6,1,1341.0,0,0,0,0,64,0,1,0,0
6,1797,1,1,0,2.0,74.0,1,1993,0,4,0,0,645,0,0,1,0,7,1,944.0,0,0,0,0,312,0,1,0,0
6,882,1,1,0,1.0,74.0,1,1956,0,3,0,0,0,0,0,0,0,5,1,564.0,0,0,0,0,0,0,1,0,0
6,1434,1,1,0,2.0,85.0,1,1974,0,3,0,0,0,0,0,0,0,7,1,844.0,0,0,0,0,21,0,1,0,0
6,1608,1,1,0,2.0,88.0,1,1997,0,3,0,0,663,0,0,1,0,7,1,847.0,0,0,0,0,30,0,1,1,0
8,2283,1,1,0,3.0,0.0,1,2003,0,3,0,0,1275,0,0,1,0,9,1,850.0,0,0,0,0,46,0,1,1,0
7,1628,1,1,0,2.0,60.0,0,1996,0,3,0,0,670,0,0,1,0,7,1,284.0,0,0,0,0,72,0,1,1,0
8,2522,1,1,0,2.0,28.0,1,2004,0,3,0,0,0,0,0,1,0,8,1,1965.0,0,0,0,0,57,0,1,0,0
8,1478,1,1,0,2.0,61.0,1,1998,0,3,0,0,0,0,0,1,0,5,1,341.0,0,0,0,0,43,0,1,0,0
8,1734,1,1,0,2.0,57.0,1,1995,0,3,0,0,0,0,0,1,0,6,1,741.0,0,0,0,0,50,0,1,0,0
7,1382,1,1,0,2.0,57.0,1,1998,0,3,0,0,631,0,0,1,0,7,1,189.0,0,0,0,0,0,0,1,1,0
6,1636,1,1,0,2.0,60.0,1,1998,0,3,0,0,684,0,0,1,0,7,1,476.0,0,0,0,0,84,0,1,1,0
6,1516,1,1,0,2.0,0.0,1,1994,0,3,0,0,809,0,0,1,0,7,1,600.0,0,0,0,0,46,0,1,1,0
6,1190,1,1,0,2.0,58.0,1,1993,0,3,0,0,0,0,0,1,0,6,1,0.0,0,0,0,0,21,0,1,1,0
5,1934,1,1,0,2.0,85.0,1,1977,0,3,0,0,988,0,0,1,0,6,1,400.0,0,0,0,0,176,0,1,1,0
7,2050,1,1,0,2.0,0.0,1,1978,0,3,0,0,896,0,0,0,0,8,1,0.0,0,0,0,0,192,0,1,0,1
6,1671,1,1,0,2.0,80.0,1,1978,0,3,0,0,0,0,0,1,0,7,1,363.0,0,0,0,0,55,0,1,0,0
7,2673,1,1,0,2.0,0.0,1,1980,0,3,0,0,1134,0,0,0,0,9,1,602.0,0,0,0,0,84,0,1,0,0
6,1707,1,1,0,2.0,80.0,1,1978,0,3,0,0,0,0,0,1,0,7,1,832.0,0,0,0,0,0,0,1,0,0
7,1884,0,1,0,2.0,70.0,1,2003,0,3,0,0,868,0,0,1,1,7,1,622.0,0,0,0,0,35,0,1,0,0
8,1874,0,1,0,2.0,0.0,1,2000,0,3,0,0,816,0,0,1,1,7,1,0.0,0,0,0,0,134,0,1,0,1
8,1811,0,5,0,2.0,0.0,1,2002,0,3,0,0,839,0,0,1,1,7,1,225.0,0,0,0,0,48,0,1,0,0
5,1621,1,2,0,2.0,0.0,1,1975,0,3,0,1,0,0,0,0,0,7,1,1333.0,0,0,0,0,0,0,1,0,0
6,1116,1,1,0,2.0,78.0,1,1974,0,3,0,0,0,1,0,0,0,6,1,888.0,0,0,0,0,0,0,1,0,0
7,1193,1,1,0,2.0,85.0,1,1975,0,3,0,0,0,0,0,0,0,5,1,636.0,0,0,0,0,0,0,1,0,0
5,1180,1,1,0,2.0,0.0,1,1970,0,3,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,45,0,1,0,0
5,1050,1,1,0,1.0,0.0,1,1971,0,3,0,0,0,0,0,0,0,6,1,500.0,0,0,0,0,0,0,1,0,0
4,864,1,1,0,2.0,60.0,1,1970,0,3,0,0,0,0,0,0,0,5,1,726.0,0,0,0,0,0,0,1,0,0
4,864,1,1,0,2.0,60.0,1,1971,0,4,0,0,0,1,0,0,0,5,1,240.0,0,0,0,0,0,0,1,0,0
6,987,0,1,1,1.0,21.0,1,1973,0,3,0,0,504,0,0,0,0,5,1,254.0,0,0,0,0,0,0,1,0,0
6,987,0,2,1,1.0,21.0,1,1972,0,3,0,0,504,0,0,0,0,5,1,110.0,0,0,0,0,0,0,1,0,0
6,1548,1,1,0,2.0,24.0,1,1976,0,3,0,0,744,0,0,0,0,7,1,306.0,0,0,0,0,0,0,1,0,0
7,1055,1,2,0,2.0,24.0,1,1975,0,3,0,0,0,0,0,0,0,4,1,435.0,0,0,0,0,27,0,1,0,0
6,1456,1,1,0,2.0,24.0,1,1977,0,3,0,0,601,0,0,0,0,6,1,389.0,0,0,0,0,28,0,1,0,0
6,1548,1,1,0,2.0,24.0,1,1978,0,3,0,0,744,0,0,0,0,7,1,320.0,0,0,0,0,0,0,1,0,0
